Universe	Total population
P160E001	0	Total:
P160E002	6	Income in 1999 below poverty level:
P160E003	8	Married-couple family:
P160E004	10	With related children under 18 years:
P160E005	12	Under 5 years only
P160E006	12	Under 5 years and 5 to 17 years
P160E007	12	5 to 17 years only
P160E008	10	No related children under 18 years
P160E009	8	Other family:
P160E010	10	Male householder, no wife present:
P160E011	12	With related children under 18 years:
P160E012	14	Under 5 years only
P160E013	14	Under 5 years and 5 to 17 years
P160E014	14	5 to 17 years only
P160E015	12	No related children under 18 years
P160E016	10	Female householder, no husband present:
P160E017	12	With related children under 18 years:
P160E018	14	Under 5 years only
P160E019	14	Under 5 years and 5 to 17 years
P160E020	14	5 to 17 years only
P160E021	12	No related children under 18 years
P160E022	6	Income in 1999 at or above poverty level:
P160E023	8	Married-couple family:
P160E024	10	With related children under 18 years:
P160E025	12	Under 5 years only
P160E026	12	Under 5 years and 5 to 17 years
P160E027	12	5 to 17 years only
P160E028	10	No related children under 18 years
P160E029	8	Other family:
P160E030	10	Male householder, no wife present:
P160E031	12	With related children under 18 years:
P160E032	14	Under 5 years only
P160E033	14	Under 5 years and 5 to 17 years
P160E034	14	5 to 17 years only
P160E035	12	No related children under 18 years
P160E036	10	Female householder, no husband present:
P160E037	12	With related children under 18 years:
P160E038	14	Under 5 years only
P160E039	14	Under 5 years and 5 to 17 years
P160E040	14	5 to 17 years only
P160E041	12	No related children under 18 years
Universe	Families with a householder who is Some other race alone
P160F001	0	Total:
P160F002	6	Income in 1999 below poverty level:
P160F003	8	Married-couple family:
P160F004	10	With related children under 18 years:
P160F005	12	Under 5 years only
P160F006	12	Under 5 years and 5 to 17 years
P160F007	12	5 to 17 years only
P160F008	10	No related children under 18 years
P160F009	8	Other family:
P160F010	10	Male householder, no wife present:
P160F011	12	With related children under 18 years:
P160F012	14	Under 5 years only
P160F013	14	Under 5 years and 5 to 17 years
P160F014	14	5 to 17 years only
P160F015	12	No related children under 18 years
P160F016	10	Female householder, no husband present:
P160F017	12	With related children under 18 years:
P160F018	14	Under 5 years only
P160F019	14	Under 5 years and 5 to 17 years
P160F020	14	5 to 17 years only
P160F021	12	No related children under 18 years
P160F022	6	Income in 1999 at or above poverty level:
P160F023	8	Married-couple family:
P160F024	10	With related children under 18 years:
P160F025	12	Under 5 years only
P160F026	12	Under 5 years and 5 to 17 years
P160F027	12	5 to 17 years only
P160F028	10	No related children under 18 years
P160F029	8	Other family:
P160F030	10	Male householder, no wife present:
P160F031	12	With related children under 18 years:
P160F032	14	Under 5 years only
P160F033	14	Under 5 years and 5 to 17 years
P160F034	14	5 to 17 years only
P160F035	12	No related children under 18 years
P160F036	10	Female householder, no husband present:
P160F037	12	With related children under 18 years:
P160F038	14	Under 5 years only
P160F039	14	Under 5 years and 5 to 17 years
P160F040	14	5 to 17 years only
P160F041	12	No related children under 18 years
Universe	Families with a householder who is Two or more races
P160G001	0	Total:
P160G002	6	Income in 1999 below poverty level:
P160G003	8	Married-couple family:
P160G004	10	With related children under 18 years:
P160G005	12	Under 5 years only
P160G006	12	Under 5 years and 5 to 17 years
P160G007	12	5 to 17 years only
P160G008	10	No related children under 18 years
P160G009	8	Other family:
P160G010	10	Male householder, no wife present:
P160G011	12	With related children under 18 years:
P160G012	14	Under 5 years only
P160G013	14	Under 5 years and 5 to 17 years
P160G014	14	5 to 17 years only
P160G015	12	No related children under 18 years
P160G016	10	Female householder, no husband present:
P160G017	12	With related children under 18 years:
P160G018	14	Under 5 years only
P160G019	14	Under 5 years and 5 to 17 years
P160G020	14	5 to 17 years only
P160G021	12	No related children under 18 years
P160G022	6	Income in 1999 at or above poverty level:
P160G023	8	Married-couple family:
P160G024	10	With related children under 18 years:
P160G025	12	Under 5 years only
P160G026	12	Under 5 years and 5 to 17 years
P160G027	12	5 to 17 years only
P160G028	10	No related children under 18 years
P160G029	8	Other family:
P160G030	10	Male householder, no wife present:
P160G031	12	With related children under 18 years:
P160G032	14	Under 5 years only
P160G033	14	Under 5 years and 5 to 17 years
P160G034	14	5 to 17 years only
P160G035	12	No related children under 18 years
P160G036	10	Female householder, no husband present:
P160G037	12	With related children under 18 years:
P160G038	14	Under 5 years only
P160G039	14	Under 5 years and 5 to 17 years
P160G040	14	5 to 17 years only
P160G041	12	No related children under 18 years
Universe	Families with a householder who is Hispanic or Latino
P160H001	0	Total:
P160H002	6	Income in 1999 below poverty level:
P160H003	8	Married-couple family:
P160H004	10	With related children under 18 years:
P160H005	12	Under 5 years only
P160H006	12	Under 5 years and 5 to 17 years
P160H007	12	5 to 17 years only
P160H008	10	No related children under 18 years
P160H009	8	Other family:
P160H010	10	Male householder, no wife present:
P160H011	12	With related children under 18 years:
P160H012	14	Under 5 years only
P160H013	14	Under 5 years and 5 to 17 years
P160H014	14	5 to 17 years only
P160H015	12	No related children under 18 years
P160H016	10	Female householder, no husband present:
P160H017	12	With related children under 18 years:
P160H018	14	Under 5 years only
P160H019	14	Under 5 years and 5 to 17 years
P160H020	14	5 to 17 years only
P160H021	12	No related children under 18 years
P160H022	6	Income in 1999 at or above poverty level:
P160H023	8	Married-couple family:
P160H024	10	With related children under 18 years:
P160H025	12	Under 5 years only
P160H026	12	Under 5 years and 5 to 17 years
P160H027	12	5 to 17 years only
P160H028	10	No related children under 18 years
P160H029	8	Other family:
P160H030	10	Male householder, no wife present:
P160H031	12	With related children under 18 years:
P160H032	14	Under 5 years only
P160H033	14	Under 5 years and 5 to 17 years
P160H034	14	5 to 17 years only
P160H035	12	No related children under 18 years
P160H036	10	Female householder, no husband present:
P160H037	12	With related children under 18 years:
P160H038	14	Under 5 years only
P160H039	14	Under 5 years and 5 to 17 years
P160H040	14	5 to 17 years only
P160H041	12	No related children under 18 years
Universe	Families with a householder who is White alone, not Hispanic or Latino
P160I001	0	Total:
P160I002	6	Income in 1999 below poverty level:
P160I003	8	Married-couple family:
P160I004	10	With related children under 18 years:
P160I005	12	Under 5 years only
P160I006	12	Under 5 years and 5 to 17 years
P160I007	12	5 to 17 years only
P160I008	10	No related children under 18 years
P160I009	8	Other family:
P160I010	10	Male householder, no wife present:
P160I011	12	With related children under 18 years:
P160I012	14	Under 5 years only
P160I013	14	Under 5 years and 5 to 17 years
P160I014	14	5 to 17 years only
P160I015	12	No related children under 18 years
P160I016	10	Female householder, no husband present:
P160I017	12	With related children under 18 years:
P160I018	14	Under 5 years only
P160I019	14	Under 5 years and 5 to 17 years
P160I020	14	5 to 17 years only
P160I021	12	No related children under 18 years
P160I022	6	Income in 1999 at or above poverty level:
P160I023	8	Married-couple family:
P160I024	10	With related children under 18 years:
P160I025	12	Under 5 years only
P160I026	12	Under 5 years and 5 to 17 years
P160I027	12	5 to 17 years only
P160I028	10	No related children under 18 years
P160I029	8	Other family:
P160I030	10	Male householder, no wife present:
P160I031	12	With related children under 18 years:
P160I032	14	Under 5 years only
P160I033	14	Under 5 years and 5 to 17 years
P160I034	14	5 to 17 years only
P160I035	12	No related children under 18 years
P160I036	10	Female householder, no husband present:
P160I037	12	With related children under 18 years:
P160I038	14	Under 5 years only
P160I039	14	Under 5 years and 5 to 17 years
P160I040	14	5 to 17 years only
P160I041	12	No related children under 18 years
Universe	Households
PCT001001	0	Total:
PCT001002	6	Unmarried-partner households:
PCT001003	8	Male householder and male partner
PCT001004	8	Male householder and female partner
PCT001005	8	Female householder and female partner
PCT001006	8	Female householder and male partner
PCT001007	6	All other households
Universe	Nonfamily households
PCT002001	0	Total:
PCT002002	6	Male householder:
PCT002003	8	Living alone:
PCT002004	10	Householder 15 to 64 years
PCT002005	10	Householder 65 years and over
PCT002006	8	Not living alone:
PCT002007	10	Householder 15 to 64 years
PCT002008	10	Householder 65 years and over
PCT002009	6	Female householder:
PCT002010	8	Living alone:
PCT002011	10	Householder 15 to 64 years
PCT002012	10	Householder 65 years and over
PCT002013	8	Not living alone:
PCT002014	10	Householder 15 to 64 years
PCT002015	10	Householder 65 years and over
Universe	Families
PCT003001	0	Total:
PCT003002	6	Married-couple family:
PCT003003	8	Householder 15 to 24 years
PCT003004	8	Householder 25 to 34 years
PCT003005	8	Householder 35 to 44 years
PCT003006	8	Householder 45 to 54 years
PCT003007	8	Householder 55 to 59 years
PCT003008	8	Householder 60 to 64 years
PCT003009	8	Householder 65 to 74 years
PCT003010	8	Householder 75 years and over
PCT003011	6	Other family:
PCT003012	8	Male householder, no wife present:
PCT003013	10	Householder 15 to 24 years
PCT003014	10	Householder 25 to 34 years
PCT003015	10	Householder 35 to 44 years
PCT003016	10	Householder 45 to 54 years
PCT003017	10	Householder 55 to 59 years
PCT003018	10	Householder 60 to 64 years
PCT003019	10	Householder 65 to 74 years
PCT003020	10	Householder 75 years and over
PCT003021	8	Female householder, no husband present:
PCT003022	10	Householder 15 to 24 years
PCT003023	10	Householder 25 to 34 years
PCT003024	10	Householder 35 to 44 years
PCT003025	10	Householder 45 to 54 years
PCT003026	10	Householder 55 to 59 years
PCT003027	10	Householder 60 to 64 years
PCT003028	10	Householder 65 to 74 years
PCT003029	10	Householder 75 years and over
Universe	Subfamilies
PCT004001	0	Total:
PCT004002	6	Married-couple subfamily:
PCT004003	8	With own children under 18 years
PCT004004	8	No own children under 18 years
PCT004005	6	Mother-child subfamily
PCT004006	6	Father-child subfamily
Universe	Population in subfamilies
PCT005001	0	Total:
PCT005002	6	In married-couple subfamilies:
PCT005003	8	Husband/wife in a subfamily with no children present
PCT005004	8	Husband/wife in a subfamily with children present
PCT005005	8	Child
PCT005006	6	In mother-child subfamilies:
PCT005007	8	Parent
PCT005008	8	Child
PCT005009	6	In father-child subfamilies:
PCT005010	8	Parent
PCT005011	8	Child
Universe	Households
PCT006001	0	Total:
PCT006002	6	No subfamilies
PCT006003	6	1 subfamily
PCT006004	6	2 subfamilies
PCT006005	6	3 subfamilies
PCT006006	6	4 or more subfamilies
Universe	Population 15 years and over
PCT007001	0	Total:
PCT007002	6	Male:
PCT007003	8	Never married:
PCT007004	10	15 to 17 years
PCT007005	10	18 and 19 years
PCT007006	10	20 to 24 years
PCT007007	10	25 to 29 years
PCT007008	10	30 to 34 years
PCT007009	10	35 to 44 years
PCT007010	10	45 to 54 years
PCT007011	10	55 to 59 years
PCT007012	10	60 to 64 years
PCT007013	10	65 to 74 years
PCT007014	10	75 to 84 years
PCT007015	10	85 years and over
PCT007016	8	Now married:
PCT007017	10	Married, spouse present:
PCT007018	12	15 to 17 years
PCT007019	12	18 and 19 years
PCT007020	12	20 to 24 years
PCT007021	12	25 to 29 years
PCT007022	12	30 to 34 years
PCT007023	12	35 to 44 years
PCT007024	12	45 to 54 years
PCT007025	12	55 to 59 years
PCT007026	12	60 to 64 years
PCT007027	12	65 to 74 years
PCT007028	12	75 to 84 years
PCT007029	12	85 years and over
PCT007030	10	Married, spouse absent:
PCT007031	12	Separated:
PCT007032	14	15 to 17 years
PCT007033	14	18 and 19 years
PCT007034	14	20 to 24 years
PCT007035	14	25 to 29 years
PCT007036	14	30 to 34 years
PCT007037	14	35 to 44 years
PCT007038	14	45 to 54 years
PCT007039	14	55 to 59 years
PCT007040	14	60 to 64 years
PCT007041	14	65 to 74 years
PCT007042	14	75 to 84 years
PCT007043	14	85 years and over
PCT007044	12	Other:
PCT007045	14	15 to 17 years
PCT007046	14	18 and 19 years
PCT007047	14	20 to 24 years
PCT007048	14	25 to 29 years
PCT007049	14	30 to 34 years
PCT007050	14	35 to 44 years
PCT007051	14	45 to 54 years
PCT007052	14	55 to 59 years
PCT007053	14	60 to 64 years
PCT007054	14	65 to 74 years
PCT007055	14	75 to 84 years
PCT007056	14	85 years and over
PCT007057	8	Widowed:
PCT007058	10	15 to 17 years
PCT007059	10	18 and 19 years
PCT007060	10	20 to 24 years
PCT007061	10	25 to 29 years
PCT007062	10	30 to 34 years
PCT007063	10	35 to 44 years
PCT007064	10	45 to 54 years
PCT007065	10	55 to 59 years
PCT007066	10	60 to 64 years
PCT007067	10	65 to 74 years
PCT007068	10	75 to 84 years
PCT007069	10	85 years and over
PCT007070	8	Divorced:
PCT007071	10	15 to 17 years
PCT007072	10	18 and 19 years
PCT007073	10	20 to 24 years
PCT007074	10	25 to 29 years
PCT007075	10	30 to 34 years
PCT007076	10	35 to 44 years
PCT007077	10	45 to 54 years
PCT007078	10	55 to 59 years
PCT007079	10	60 to 64 years
PCT007080	10	65 to 74 years
PCT007081	10	75 to 84 years
PCT007082	10	85 years and over
PCT007083	6	Female:
PCT007084	8	Never married:
PCT007085	10	15 to 17 years
PCT007086	10	18 and 19 years
PCT007087	10	20 to 24 years
PCT007088	10	25 to 29 years
PCT007089	10	30 to 34 years
PCT007090	10	35 to 44 years
PCT007091	10	45 to 54 years
PCT007092	10	55 to 59 years
PCT007093	10	60 to 64 years
PCT007094	10	65 to 74 years
PCT007095	10	75 to 84 years
PCT007096	10	85 years and over
PCT007097	8	Now married:
PCT007098	10	Married, spouse present:
PCT007099	12	15 to 17 years
PCT007100	12	18 and 19 years
PCT007101	12	20 to 24 years
PCT007102	12	25 to 29 years
PCT007103	12	30 to 34 years
PCT007104	12	35 to 44 years
PCT007105	12	45 to 54 years
PCT007106	12	55 to 59 years
PCT007107	12	60 to 64 years
PCT007108	12	65 to 74 years
PCT007109	12	75 to 84 years
PCT007110	12	85 years and over
PCT007111	10	Married, spouse absent:
PCT007112	12	Separated:
PCT007113	14	15 to 17 years
PCT007114	14	18 and 19 years
PCT007115	14	20 to 24 years
PCT007116	14	25 to 29 years
PCT007117	14	30 to 34 years
PCT007118	14	35 to 44 years
PCT007119	14	45 to 54 years
PCT007120	14	55 to 59 years
PCT007121	14	60 to 64 years
PCT007122	14	65 to 74 years
PCT007123	14	75 to 84 years
PCT007124	14	85 years and over
PCT007125	12	Other:
PCT007126	14	15 to 17 years
PCT007127	14	18 and 19 years
PCT007128	14	20 to 24 years
PCT007129	14	25 to 29 years
PCT007130	14	30 to 34 years
PCT007131	14	35 to 44 years
PCT007132	14	45 to 54 years
PCT007133	14	55 to 59 years
PCT007134	14	60 to 64 years
PCT007135	14	65 to 74 years
PCT007136	14	75 to 84 years
PCT007137	14	85 years and over
PCT007138	8	Widowed:
PCT007139	10	15 to 17 years
PCT007140	10	18 and 19 years
PCT007141	10	20 to 24 years
PCT007142	10	25 to 29 years
PCT007143	10	30 to 34 years
PCT007144	10	35 to 44 years
PCT007145	10	45 to 54 years
PCT007146	10	55 to 59 years
PCT007147	10	60 to 64 years
PCT007148	10	65 to 74 years
PCT007149	10	75 to 84 years
PCT007150	10	85 years and over
PCT007151	8	Divorced:
PCT007152	10	15 to 17 years
PCT007153	10	18 and 19 years
PCT007154	10	20 to 24 years
PCT007155	10	25 to 29 years
PCT007156	10	30 to 34 years
PCT007157	10	35 to 44 years
PCT007158	10	45 to 54 years
PCT007159	10	55 to 59 years
PCT007160	10	60 to 64 years
PCT007161	10	65 to 74 years
PCT007162	10	75 to 84 years
PCT007163	10	85 years and over
Universe	Population 30 years and over in households
PCT008001	0	Total:
PCT008002	6	Living with own grandchildren under 18 years:
PCT008003	8	Grandparent responsible for own grandchildren under 18 years:
PCT008004	12	Less than 6 months
PCT008005	12	6 to 11 months
PCT008006	12	1 or 2 years
PCT008007	12	3 or 4 years
PCT008008	12	5 years or more
PCT008009	8	Grandparent not responsible for own grandchildren under 18 years
PCT008010	6	Not living with own grandchildren under 18 years
Universe	Population 30 years and over in households
PCT009001	0	Total:
PCT009002	6	Householder or spouse:
PCT009003	8	Living with own grandchildren under 18 years:
PCT009004	10	Grandparent responsible for own grandchildren under 18 years
PCT009005	10	Grandparent not responsible for own grandchildren under 18 years
PCT009006	8	Not living with own grandchildren under 18 years
PCT009007	6	Parent or parent-in-law of householder:
PCT009008	8	Living with own grandchildren under 18 years:
PCT009009	10	Grandparent responsible for own grandchildren under 18 years
PCT009010	10	Grandparent not responsible for own grandchildren under 18 years
PCT009011	8	Not living with own grandchildren under 18 years
PCT009012	6	Other relatives or nonrelatives of householder:
PCT009013	8	Living with own grandchildren under 18 years:
PCT009014	10	Grandparent responsible for own grandchildren under 18 years
PCT009015	10	Grandparent not responsible for own grandchildren under 18 years
PCT009016	8	Not living with own grandchildren under 18 years
Universe	Population 5 years and over
PCT010001	0	Total:
PCT010002	6	5 to 17 years:
PCT010003	8	Speak only English
PCT010004	8	Spanish or Spanish Creole
PCT010005	8	French (incl. Patois, Cajun)
PCT010006	8	French Creole
PCT010007	8	Italian
PCT010008	8	Portuguese or Portuguese Creole
PCT010009	8	German
PCT010010	8	Yiddish
PCT010011	8	Other West Germanic languages
PCT010012	8	Scandinavian languages
PCT010013	8	Greek
PCT010014	8	Russian
PCT010015	8	Polish
PCT010016	8	Serbo-Croatian
PCT010017	8	Other Slavic languages
PCT010018	8	Armenian
PCT010019	8	Persian
PCT010020	8	Gujarathi
PCT010021	8	Hindi
PCT010022	8	Urdu
PCT010023	8	Other Indic languages
PCT010024	8	Other Indo-European languages
PCT010025	8	Chinese
PCT010026	8	Japanese
PCT010027	8	Korean
PCT010028	8	Mon-Khmer, Cambodian
PCT010029	8	Miao, Hmong
PCT010030	8	Thai
PCT010031	8	Laotian
PCT010032	8	Vietnamese
PCT010033	8	Other Asian languages
PCT010034	8	Tagalog
PCT010035	8	Other Pacific Island languages
PCT010036	8	Navajo
PCT010037	8	Other Native North American languages
PCT010038	8	Hungarian
PCT010039	8	Arabic
PCT010040	8	Hebrew
PCT010041	8	African languages
PCT010042	8	Other and unspecified languages
PCT010043	6	18 years and over:
PCT010044	8	Speak only English
PCT010045	8	Spanish or Spanish Creole
PCT010046	8	French (incl. Patois, Cajun)
PCT010047	8	French Creole
PCT010048	8	Italian
PCT010049	8	Portuguese or Portuguese Creole
PCT010050	8	German
PCT010051	8	Yiddish
PCT010052	8	Other West Germanic languages
PCT010053	8	Scandinavian languages
PCT010054	8	Greek
PCT010055	8	Russian
PCT010056	8	Polish
PCT010057	8	Serbo-Croatian
PCT010058	8	Other Slavic languages
PCT010059	8	Armenian
PCT010060	8	Persian
PCT010061	8	Gujarathi
PCT010062	8	Hindi
PCT010063	8	Urdu
PCT010064	8	Other Indic languages
PCT010065	8	Other Indo-European languages
PCT010066	8	Chinese
PCT010067	8	Japanese
PCT010068	8	Korean
PCT010069	8	Mon-Khmer, Cambodian
PCT010070	8	Miao, Hmong
PCT010071	8	Thai
PCT010072	8	Laotian
PCT010073	8	Vietnamese
PCT010074	8	Other Asian languages
PCT010075	8	Tagalog
PCT010076	8	Other Pacific Island languages
PCT010077	8	Navajo
PCT010078	8	Other Native North American languages
PCT010079	8	Hungarian
PCT010080	8	Arabic
PCT010081	8	Hebrew
PCT010082	8	African languages
PCT010083	8	Other and unspecified languages
Universe	Hispanic or Latino population 5 years and over
PCT011001	0	Total:
PCT011002	6	Speak only English
PCT011003	6	Speak Spanish:
PCT011004	8	Speak English "very well"
PCT011005	8	Speak English "well"
PCT011006	8	Speak English "not well"
PCT011007	8	Speak English "not at all"
PCT011008	6	Speak other language
Universe	Population 5 years and over
PCT012001	0	Total:
PCT012002	6	Native:
PCT012003	8	Speak only English
PCT012004	8	Speak Spanish:
PCT012005	10	Speak English "very well"
PCT012006	10	Speak English "well"
PCT012007	10	Speak English "not well"
PCT012008	10	Speak English "not at all"
PCT012009	8	Speak other Indo-European languages:
PCT012010	10	Speak English "very well"
PCT012011	10	Speak English "well"
PCT012012	10	Speak English "not well"
PCT012013	10	Speak English "not at all"
PCT012014	8	Speak Asian and Pacific Island languages:
PCT012015	10	Speak English "very well"
PCT012016	10	Speak English "well"
PCT012017	10	Speak English "not well"
PCT012018	10	Speak English "not at all"
PCT012019	8	Speak other languages:
PCT012020	10	Speak English "very well"
PCT012021	10	Speak English "well"
PCT012022	10	Speak English "not well"
PCT012023	10	Speak English "not at all"
PCT012024	6	Foreign born:
PCT012025	8	Speak only English
PCT012026	8	Speak Spanish:
PCT012027	10	Speak English "very well"
PCT012028	10	Speak English "well"
PCT012029	10	Speak English "not well"
PCT012030	10	Speak English "not at all"
PCT012031	8	Speak other Indo-European languages:
PCT012032	10	Speak English "very well"
PCT012033	10	Speak English "well"
PCT012034	10	Speak English "not well"
PCT012035	10	Speak English "not at all"
PCT012036	8	Speak Asian and Pacific Island languages:
PCT012037	10	Speak English "very well"
PCT012038	10	Speak English "well"
PCT012039	10	Speak English "not well"
PCT012040	10	Speak English "not at all"
PCT012041	8	Speak other languages:
PCT012042	10	Speak English "very well"
PCT012043	10	Speak English "well"
PCT012044	10	Speak English "not well"
PCT012045	10	Speak English "not at all"
Universe	Population 5 years and over in linguistically isolated households
PCT013001	0	Total:
PCT013002	6	5 to 17 years:
PCT013003	8	Speak only English:
PCT013004	8	Speak Spanish:
PCT013005	8	Speak other Indo-European languages:
PCT013006	8	Speak Asian and Pacific Island languages:
PCT013007	8	Speak other languages:
PCT013008	6	18 to 64 years:
PCT013009	8	Speak Spanish:
PCT013010	8	Speak other Indo-European languages:
PCT013011	8	Speak Asian and Pacific Island languages:
PCT013012	8	Speak other languages:
PCT013013	6	65 years and over:
PCT013014	8	Speak Spanish:
PCT013015	8	Speak other Indo-European languages:
PCT013016	8	Speak Asian and Pacific Island languages:
PCT013017	8	Speak other languages:
Universe	Population 5 years and over in households
PCT014001	0	Total:
PCT014002	6	In households where all members speak English only:
PCT014003	8	5 to 17 years
PCT014004	8	18 to 44 years
PCT014005	8	45 to 64 years
PCT014006	8	65 years and over
PCT014007	6	In households where some members speak a non-English language:
PCT014008	8	Not linguistically isolated:
PCT014009	10	5 to 17 years
PCT014010	10	18 to 44 years
PCT014011	10	45 to 64 years
PCT014012	10	65 years and over
PCT014013	8	Linguistically isolated:
PCT014014	10	5 to 17 years
PCT014015	10	18 to 44 years
PCT014016	10	45 to 64 years
PCT014017	10	65 years and over
PCT014018	6	In households where all members speak a non-English language:
PCT014019	8	Not linguistically isolated:
PCT014020	10	5 to 17 years
PCT014021	10	18 to 44 years
PCT014022	10	45 to 64 years
PCT014023	10	65 years and over
PCT014024	8	Linguistically isolated:
PCT014025	10	5 to 17 years
PCT014026	10	18 to 44 years
PCT014027	10	45 to 64 years
PCT014028	10	65 years and over
Universe	Total population
PCT015001	0	Total:
PCT015002	6	Ancestry specified:
PCT015003	8	Single ancestry
PCT015004	8	Multiple ancestry
PCT015005	6	Ancestry not specified:
PCT015006	8	Ancestry unclassified
PCT015007	8	Ancestry not reported
Universe	Total population
PCT016001	0	Total:
PCT016002	6	First ancestry reported:
PCT016003	8	Acadian/Cajun
PCT016004	8	Afghan
PCT016005	8	Albanian
PCT016006	8	Alsatian
PCT016007	8	Arab:
PCT016008	10	Egyptian
PCT016009	10	Iraqi
PCT016010	10	Jordanian
PCT016011	10	Lebanese
PCT016012	10	Moroccan
PCT016013	10	Palestinian
PCT016014	10	Syrian
PCT016015	10	Arab/Arabic
PCT016016	10	Other Arab
PCT016017	8	Armenian
PCT016018	8	Assyrian/Chaldean/Syriac
PCT016019	8	Australian
PCT016020	8	Austrian
PCT016021	8	Basque
PCT016022	8	Belgian
PCT016023	8	Brazilian
PCT016024	8	British
PCT016025	8	Bulgarian
PCT016026	8	Canadian
PCT016027	8	Carpatho Rusyn
PCT016028	8	Celtic
PCT016029	8	Croatian
PCT016030	8	Cypriot
PCT016031	8	Czech
PCT016032	8	Czechoslovakian
PCT016033	8	Danish
PCT016034	8	Dutch
PCT016035	8	Eastern European
PCT016036	8	English
PCT016037	8	Estonian
PCT016038	8	European
PCT016039	8	Finnish
PCT016040	8	French (except Basque)
PCT016041	8	French Canadian
PCT016042	8	German
PCT016043	8	German Russian
PCT016044	8	Greek
PCT016045	8	Guyanese
PCT016046	8	Hungarian
PCT016047	8	Icelander
PCT016048	8	Iranian
PCT016049	8	Irish
PCT016050	8	Israeli
PCT016051	8	Italian
PCT016052	8	Latvian
PCT016053	8	Lithuanian
PCT016054	8	Luxemburger
PCT016055	8	Macedonian
PCT016056	8	Maltese
PCT016057	8	New Zealander
PCT016058	8	Northern European
PCT016059	8	Norwegian
PCT016060	8	Pennsylvania German
PCT016061	8	Polish
PCT016062	8	Portuguese
PCT016063	8	Romanian
PCT016064	8	Russian
PCT016065	8	Scandinavian
PCT016066	8	Scotch-Irish
PCT016067	8	Scottish
PCT016068	8	Serbian
PCT016069	8	Slavic
PCT016070	8	Slovak
PCT016071	8	Slovene
PCT016072	8	Soviet Union
PCT016073	8	Subsaharan African:
PCT016074	10	Cape Verdean
PCT016075	10	Ethiopian
PCT016076	10	Ghanian
PCT016077	10	Kenyan
PCT016078	10	Liberian
PCT016079	10	Nigerian
PCT016080	10	Senegalese
PCT016081	10	Sierra Leonean
PCT016082	10	Somalian
PCT016083	10	South African
PCT016084	10	Sudanese
PCT016085	10	Ugandan
PCT016086	10	Zairian
PCT016087	10	Zimbabwean
PCT016088	10	African
PCT016089	10	Other Subsaharan African
PCT016090	8	Swedish
PCT016091	8	Swiss
PCT016092	8	Turkish
PCT016093	8	Ukrainian
PCT016094	8	United States or American
PCT016095	8	Welsh
PCT016096	8	West Indian (excluding Hispanic groups):
PCT016097	10	Bahamian
PCT016098	10	Barbadian
PCT016099	10	Belizean
PCT016100	10	Bermudan
PCT016101	10	British West Indian
PCT016102	10	Dutch West Indian
PCT016103	10	Haitian
PCT016104	10	Jamaican
PCT016105	10	Trinidadian and Tobagonian
PCT016106	10	U.S. Virgin Islander
PCT016107	10	West Indian
PCT016108	10	Other West Indian
PCT016109	8	Yugoslavian
PCT016110	8	Other groups
PCT016111	6	Unclassified or not reported
Universe	Total population
PCT017001	0	Total:
PCT017002	6	Second ancestry reported:
PCT017003	8	Acadian/Cajun
PCT017004	8	Afghan
PCT017005	8	Albanian
PCT017006	8	Alsatian
PCT017007	8	Arab:
PCT017008	10	Egyptian
PCT017009	10	Iraqi
PCT017010	10	Jordanian
PCT017011	10	Lebanese
PCT017012	10	Moroccan
PCT017013	10	Palestinian
PCT017014	10	Syrian
PCT017015	10	Arab/Arabic
PCT017016	10	Other Arab
PCT017017	8	Armenian
PCT017018	8	Assyrian/Chaldean/Syriac
PCT017019	8	Australian
PCT017020	8	Austrian
PCT017021	8	Basque
PCT017022	8	Belgian
PCT017023	8	Brazilian
PCT017024	8	British
PCT017025	8	Bulgarian
PCT017026	8	Canadian
PCT017027	8	Carpatho Rusyn
PCT017028	8	Celtic
PCT017029	8	Croatian
PCT017030	8	Cypriot
PCT017031	8	Czech
PCT017032	8	Czechoslovakian
PCT017033	8	Danish
PCT017034	8	Dutch
PCT017035	8	Eastern European
PCT017036	8	English
PCT017037	8	Estonian
PCT017038	8	European
PCT017039	8	Finnish
PCT017040	8	French (except Basque)
PCT017041	8	French Canadian
PCT017042	8	German
PCT017043	8	German Russian
PCT017044	8	Greek
PCT017045	8	Guyanese
PCT017046	8	Hungarian
PCT017047	8	Icelander
PCT017048	8	Iranian
PCT017049	8	Irish
PCT017050	8	Israeli
PCT017051	8	Italian
PCT017052	8	Latvian
PCT017053	8	Lithuanian
PCT017054	8	Luxemburger
PCT017055	8	Macedonian
PCT017056	8	Maltese
PCT017057	8	New Zealander
PCT017058	8	Northern European
PCT017059	8	Norwegian
PCT017060	8	Pennsylvania German
PCT017061	8	Polish
PCT017062	8	Portuguese
PCT017063	8	Romanian
PCT017064	8	Russian
PCT017065	8	Scandinavian
PCT017066	8	Scotch-Irish
PCT017067	8	Scottish
PCT017068	8	Serbian
PCT017069	8	Slavic
PCT017070	8	Slovak
PCT017071	8	Slovene
PCT017072	8	Soviet Union
PCT017073	8	Subsaharan African:
PCT017074	10	Cape Verdean
PCT017075	10	Ethiopian
PCT017076	10	Ghanian
PCT017077	10	Kenyan
PCT017078	10	Liberian
PCT017079	10	Nigerian
PCT017080	10	Senegalese
PCT017081	10	Sierra Leonean
PCT017082	10	Somalian
PCT017083	10	South African
PCT017084	10	Sudanese
